City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,17.5,84,9,2.52,BR,1675646177
1,tabat,-2.635,115.2274,26.02,85,100,0.39,ID,1675646179
2,pevek,69.7008,170.3133,-35.13,96,100,1.56,RU,1675645802
3,airai,-8.9266,125.4092,20.41,73,89,1.55,TL,1675645787
4,qaanaaq,77.484,-69.3632,-18.74,52,95,1.14,GL,1675645715
5,mataura,-46.1927,168.8643,16.85,69,98,4.9,NZ,1675645767
6,kapaa,22.0752,-159.319,26.99,83,100,4.12,US,1675645783
7,jumla,29.2747,82.1838,2.1,50,0,1.85,NP,1675645867
8,busselton,-33.65,115.3333,23.44,59,0,5.15,AU,1675645782
9,hobart,-42.8794,147.3294,22.37,50,40,10.29,AU,1675645776
10,noyabrsk,63.1994,75.4507,-18.22,99,100,0.17,RU,1675646181
11,lethem,3.3803,-59.7968,23.2,87,100,5.5,GY,1675646181
12,ostrovnoy,68.0531,39.5131,-10.97,92,100,7.15,RU,1675646049
13,codrington,-38.2667,141.9667,18.37,60,88,3.59,AU,1675646049
14,jamestown,42.097,-79.2353,4.84,70,100,5.14,US,1675646060
15,ilulissat,69.2167,-51.1,-16.99,78,100,10.8,GL,1675646183
16,saint-augustin,51.226,-58.6502,-15.43,96,100,1.43,CA,1675646162
17,nikolskoye,59.7035,30.7861,-3.06,94,100,3.2,RU,1675646184
18,bredasdorp,-34.5322,20.0403,20.13,90,44,4.71,ZA,1675646134
19,albany,42.6001,-73.9662,4.94,58,100,2.11,US,1675645949
20,port elizabeth,-33.918,25.5701,23.94,94,75,5.66,ZA,1675646186
21,havoysund,70.9963,24.6622,4.13,69,11,10.48,NO,1675646188
22,fairbanks,64.8378,-147.7164,-13.84,81,0,2.57,US,1675646102
23,yatou,37.15,122.3833,4.69,75,96,1.66,CN,1675646189
24,bandarbeyla,9.4942,50.8122,23.49,76,66,6.47,SO,1675646140
25,olafsvik,64.8945,-23.7142,1.96,69,100,18.54,IS,1675646190
26,siavonga,-16.5382,28.7088,21.94,92,98,1.59,ZM,1675646190
27,roebourne,-20.7833,117.1333,35.11,36,1,2.36,AU,1675646191
28,new norfolk,-42.7826,147.0587,22.18,52,50,2.68,AU,1675646191
29,coahuayana,18.7333,-103.6833,23.24,75,0,1.67,MX,1675646074
30,krasnokamensk,50.0979,118.0369,-26.54,100,79,1.54,RU,1675646192
31,arraial do cabo,-22.9661,-42.0278,24.28,91,94,3.45,BR,1675646152
32,pacific grove,36.6177,-121.9166,11.95,80,75,8.05,US,1675646100
33,constitucion,-35.3333,-72.4167,14.38,95,14,2.14,CL,1675646106
34,hermanus,-34.4187,19.2345,21.56,87,25,5.4,ZA,1675646132
35,sobolevo,54.4299,31.8996,-8.89,97,99,2.5,RU,1675646193
36,vaini,-21.2,-175.2,27.41,70,97,4.79,TO,1675646172
37,koygorodok,60.445,50.9968,-23.23,100,100,0.32,RU,1675646194
38,barrow,71.2906,-156.7887,-27.99,76,100,1.54,US,1675646134
39,klaksvik,62.2266,-6.589,9.51,90,100,14.85,FO,1675645961
40,carnarvon,-24.8667,113.6333,26.87,62,0,7.38,AU,1675646159
41,avarua,-21.2078,-159.775,25.03,88,75,6.17,CK,1675646023
42,madison,34.7334,-86.5667,11.8,74,0,2.68,US,1675646123
